sample_alias,sample_accession_id,biosample_id,run_accession_id,experiment_accession_id,study_accession_id,sample_attributes
CGH20N_8,EGAN00003221073,SAMEA9240961,EGAR00002846334,EGAX00002471819,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGH20N_9,EGAN00003221068,SAMEA9240956,EGAR00002846335,EGAX00002471820,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH1000P,EGAN00003221131,SAMEA9241019,EGAR00002846336,EGAX00002471821,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH1001P,EGAN00003221130,SAMEA9241017,EGAR00002846337,EGAX00002471822,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH1002P,EGAN00003221133,SAMEA9241021,EGAR00002846338,EGAX00002471823,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH1003P,EGAN00003221132,SAMEA9241020,EGAR00002846339,EGAX00002471824,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH1004P,EGAN00003220759,SAMEA9240647,EGAR00002846340,EGAX00002471825,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH1005P,EGAN00003220758,SAMEA9240646,EGAR00002846341,EGAX00002471826,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH1006P,EGAN00003220424,SAMEA9240316,EGAR00002846342,EGAX00002471827,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH1007P,EGAN00003220423,SAMEA9240315,EGAR00002846343,EGAX00002471828,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH1008P,EGAN00003220762,SAMEA9240650,EGAR00002846344,EGAX00002471829,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH1009P,EGAN00003220760,SAMEA9240648,EGAR00002846345,EGAX00002471830,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH1010P,EGAN00003221124,SAMEA9241012,EGAR00002846346,EGAX00002471831,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH1011P,EGAN00003221123,SAMEA9241011,EGAR00002846347,EGAX00002471832,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH1012P,EGAN00003221117,SAMEA9241005,EGAR00002846348,EGAX00002471833,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH1013P,EGAN00003220434,SAMEA9240327,EGAR00002846349,EGAX00002471834,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH1014P,EGAN00003220433,SAMEA9240326,EGAR00002846350,EGAX00002471835,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH1015P,EGAN00003220436,SAMEA9240329,EGAR00002846351,EGAX00002471836,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH1016P,EGAN00003220419,SAMEA9240310,EGAR00002846352,EGAX00002471837,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH1017P,EGAN00003220422,SAMEA9240314,EGAR00002846353,EGAX00002471838,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH1018P,EGAN00003220421,SAMEA9240313,EGAR00002846354,EGAX00002471839,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH1019P,EGAN00003221096,SAMEA9240984,EGAR00002846355,EGAX00002471840,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH1020P,EGAN00003221095,SAMEA9240983,EGAR00002846356,EGAX00002471841,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH1021P,EGAN00003221094,SAMEA9240982,EGAR00002846357,EGAX00002471842,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH1022P,EGAN00003221093,SAMEA9240981,EGAR00002846358,EGAX00002471843,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH1023P,EGAN00003221105,SAMEA9240993,EGAR00002846359,EGAX00002471844,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH1024P,EGAN00003221103,SAMEA9240991,EGAR00002846360,EGAX00002471845,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH1025P,EGAN00003221101,SAMEA9240989,EGAR00002846361,EGAX00002471846,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH1027P,EGAN00003220957,SAMEA9240297,EGAR00002846362,EGAX00002471847,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH1028P,EGAN00003220956,SAMEA9240294,EGAR00002846363,EGAX00002471848,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH289P_2,EGAN00003220450,SAMEA9240344,EGAR00002846364,EGAX00002471849,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH290P_2,EGAN00003220407,SAMEA9240298,EGAR00002846365,EGAX00002471850,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH291P_2,EGAN00003220406,SAMEA9240296,EGAR00002846366,EGAX00002471851,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH292P_2,EGAN00003220408,SAMEA9240299,EGAR00002846367,EGAX00002471852,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH293P_2,EGAN00003220390,SAMEA9240277,EGAR00002846368,EGAX00002471853,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH294P_2,EGAN00003220994,SAMEA9240882,EGAR00002846369,EGAX00002471854,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH295P_2,EGAN00003220991,SAMEA9240879,EGAR00002846370,EGAX00002471855,EGAS00001005340,ENA-CHECKLIST=ERC000026
CGPLH296P_2,EGAN00003221022,SAMEA9240910,EGAR00002846371,EGAX00002471856,EGAS00001005340,ENA-CHECKLIST=ERC000026
