sample_accession_id,sample_alias,file_name,file_accession_id
EGAN00003220566,CGPLH987P,CGPLH987P.bam,EGAF00005323129
EGAN00003220567,CGPLH986P,CGPLH986P.bam,EGAF00005323128
EGAN00003220568,CGPLH985P,CGPLH985P.bam,EGAF00005323127
EGAN00003220569,CGPLH683P_1,CGPLH683P_1.bam,EGAF00005322889
EGAN00003220570,CGPLH988P,CGPLH988P.bam,EGAF00005323130
EGAN00003220571,CGPLH739P_1,CGPLH739P_1.bam,EGAF00005322943
EGAN00003220572,CGPLH738P_1,CGPLH738P_1.bam,EGAF00005322942
EGAN00003220573,CGPLH824P,CGPLH824P.bam,EGAF00005322991
EGAN00003220574,CGPLH733P_1,CGPLH733P_1.bam,EGAF00005322937
EGAN00003220575,CGPLH817P,CGPLH817P.bam,EGAF00005322984
EGAN00003220576,CGPLH816P,CGPLH816P.bam,EGAF00005322983
EGAN00003220577,CGPLH606P_1,CGPLH606P_1.bam,EGAF00005322820
EGAN00003220578,CGPLH605P_1,CGPLH605P_1.bam,EGAF00005322819
EGAN00003220579,CGPLH604P_1,CGPLH604P_1.bam,EGAF00005322818
EGAN00003220580,CGPLH603P_1,CGPLH603P_1.bam,EGAF00005322817
EGAN00003220581,CGPLH602P_1,CGPLH602P_1.bam,EGAF00005322816
EGAN00003220582,CGPLH823P,CGPLH823P.bam,EGAF00005322990
EGAN00003220583,CGPLH822P,CGPLH822P.bam,EGAF00005322989
EGAN00003220584,CGPLH821P,CGPLH821P.bam,EGAF00005322988
EGAN00003220585,CGPLH820P,CGPLH820P.bam,EGAF00005322987
EGAN00003220586,CGPLH819P,CGPLH819P.bam,EGAF00005322986
EGAN00003220587,CGPLH818P,CGPLH818P.bam,EGAF00005322985
EGAN00003220588,CGPLH742P_1,CGPLH742P_1.bam,EGAF00005322946
EGAN00003220589,CGPLH741P_1,CGPLH741P_1.bam,EGAF00005322945
EGAN00003220590,CGPLH740P_1,CGPLH740P_1.bam,EGAF00005322944
EGAN00003220591,CGPLH990P,CGPLH990P.bam,EGAF00005323132
EGAN00003220592,CGPLH596P_1,CGPLH596P_1.bam,EGAF00005322810
EGAN00003220593,CGPLH595P_1,CGPLH595P_1.bam,EGAF00005322809
EGAN00003220594,CGPLH992P,CGPLH992P.bam,EGAF00005323134
EGAN00003220595,CGPLH594P_1,CGPLH594P_1.bam,EGAF00005322808
EGAN00003220596,CGPLH991P,CGPLH991P.bam,EGAF00005323133
EGAN00003220597,CGPLH601P_1,CGPLH601P_1.bam,EGAF00005322815
EGAN00003220598,CGPLH600P_1,CGPLH600P_1.bam,EGAF00005322814
EGAN00003220599,CGPLH599P_1,CGPLH599P_1.bam,EGAF00005322813
EGAN00003220600,CGPLH598P_1,CGPLH598P_1.bam,EGAF00005322812
EGAN00003220601,CGPLH597P_1,CGPLH597P_1.bam,EGAF00005322811
EGAN00003220602,CGPLH922P,CGPLH922P.bam,EGAF00005323069
EGAN00003220603,CGPLH709P_1,CGPLH709P_1.bam,EGAF00005322913
EGAN00003220604,CGPLH710P_1,CGPLH710P_1.bam,EGAF00005322914
EGAN00003220605,CGPLH923P,CGPLH923P.bam,EGAF00005323070
