feature,classifier,weighting_function,top_genes,fold,auc,source_dir
griffin_diff,K-Nearest Neighbors,mean_diff,10,8,0.35119047619047616,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,10,9,0.5416666666666667,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,10,10,0.8392857142857143,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,14224,1,0.5625,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,14224,2,0.5,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,14224,3,0.5625,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,14224,4,0.5625,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,14224,5,0.5625,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,14224,6,0.5,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,14224,7,0.5625,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,14224,8,0.5625,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,14224,9,0.5,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,14224,10,0.5625,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,1500,1,0.6726190476190477,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,1500,2,0.6875,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,1500,3,0.5625,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,1500,4,0.6845238095238095,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,1500,5,0.6160714285714286,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,1500,6,0.6011904761904762,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,1500,7,0.5625,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,1500,8,0.5297619047619048,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,1500,9,0.5000000000000001,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,1500,10,0.6428571428571429,brca_crc_dd
griffin_diff,K-Nearest Neighbors,mean_diff,2500,1,0.625,brca_crc_dd
